@RELATION RapidMinerData

@ATTRIBUTE 'Total_Trans_Amt' real
@ATTRIBUTE 'Total_Trans_Ct' real

@DATA
1887.0,20.0
1330.0,31.0
1350.0,24.0
1441.0,32.0
1201.0,42.0
1314.0,26.0
1570.0,29.0
1671.0,27.0
1028.0,21.0
1336.0,30.0
1207.0,21.0
1178.0,27.0
1904.0,40.0
1052.0,18.0
1045.0,38.0
1589.0,24.0
1407.0,43.0
966.0,22.0
704.0,16.0
1347.0,28.0
1444.0,28.0
1140.0,40.0
705.0,19.0
1276.0,26.0
1353.0,35.0
1132.0,28.0
1256.0,21.0
1468.0,23.0
1334.0,35.0
1457.0,41.0
1603.0,29.0
1531.0,35.0
1212.0,31.0
1413.0,14.0
1276.0,21.0
1465.0,34.0
1286.0,29.0
1673.0,32.0
1609.0,42.0
1487.0,26.0
1259.0,33.0
1022.0,21.0
1951.0,44.0
1047.0,31.0
1305.0,24.0
1235.0,18.0
2089.0,36.0
1111.0,24.0
1553.0,38.0
1064.0,13.0
1243.0,29.0
1268.0,42.0
1304.0,24.0
720.0,23.0
1521.0,29.0
1137.0,30.0
1565.0,28.0
991.0,26.0
2560.0,42.0
1657.0,29.0
1131.0,18.0
1576.0,25.0
1217.0,20.0
1592.0,34.0
1343.0,30.0
1303.0,39.0
1087.0,29.0
1716.0,29.0
1152.0,31.0
1767.0,38.0
1039.0,24.0
1645.0,30.0
1413.0,29.0
2184.0,53.0
1388.0,28.0
757.0,20.0
1504.0,34.0
2398.0,47.0
1661.0,32.0
999.0,28.0
1387.0,18.0
1243.0,24.0
1860.0,36.0
1460.0,50.0
1348.0,27.0
1087.0,33.0
1230.0,28.0
1376.0,35.0
1771.0,37.0
1679.0,42.0
1002.0,22.0
1344.0,21.0
1461.0,42.0
760.0,21.0
1428.0,22.0
1777.0,42.0
1483.0,41.0
1060.0,27.0
1330.0,32.0
886.0,27.0
844.0,24.0
1450.0,37.0
2311.0,48.0
1378.0,26.0
1033.0,26.0
1523.0,40.0
1234.0,24.0
1600.0,32.0
1353.0,33.0
1590.0,43.0
1448.0,22.0
1223.0,20.0
1468.0,26.0
1368.0,38.0
1218.0,18.0
1310.0,26.0
1767.0,50.0
933.0,25.0
1512.0,27.0
829.0,17.0
1506.0,33.0
817.0,30.0
2094.0,25.0
1287.0,36.0
701.0,19.0
1770.0,25.0
687.0,17.0
1227.0,15.0
1435.0,38.0
1479.0,29.0
1283.0,39.0
965.0,17.0
1258.0,23.0
1339.0,20.0
1387.0,33.0
960.0,18.0
1119.0,18.0
1382.0,31.0
1232.0,32.0
1094.0,32.0
1614.0,33.0
1747.0,31.0
1144.0,22.0
909.0,14.0
1000.0,25.0
1139.0,30.0
1881.0,45.0
1273.0,27.0
1328.0,33.0
1424.0,29.0
2011.0,41.0
1319.0,26.0
949.0,27.0
1338.0,30.0
1554.0,26.0
1350.0,32.0
1694.0,44.0
2069.0,43.0
1222.0,23.0
1536.0,37.0
1389.0,33.0
2093.0,42.0
1467.0,29.0
1219.0,27.0
1730.0,36.0
1122.0,13.0
1843.0,35.0
1619.0,36.0
1142.0,28.0
1190.0,46.0
1052.0,24.0
1740.0,32.0
1389.0,32.0
1365.0,38.0
1582.0,25.0
1220.0,22.0
1731.0,34.0
2058.0,34.0
1658.0,32.0
1334.0,32.0
1734.0,39.0
893.0,22.0
1151.0,31.0
1519.0,31.0
1245.0,25.0
1102.0,27.0
1402.0,33.0
1060.0,30.0
1456.0,39.0
1439.0,48.0
1353.0,24.0
1279.0,28.0
1307.0,29.0
1473.0,37.0
1421.0,23.0
647.0,15.0
1275.0,25.0
1270.0,27.0
1256.0,26.0
1626.0,29.0
1960.0,57.0
1154.0,38.0
683.0,17.0
1205.0,28.0
1000.0,18.0
1161.0,44.0
1750.0,35.0
1170.0,24.0
2218.0,50.0
1470.0,30.0
1435.0,25.0
1093.0,22.0
2399.0,43.0
906.0,22.0
1052.0,16.0
1327.0,41.0
1814.0,31.0
1581.0,44.0
1534.0,29.0
1302.0,36.0
1724.0,45.0
2556.0,49.0
884.0,19.0
973.0,25.0
1150.0,26.0
1193.0,21.0
706.0,21.0
1257.0,23.0
1303.0,35.0
1306.0,39.0
748.0,20.0
1209.0,25.0
1074.0,31.0
1456.0,36.0
1470.0,42.0
715.0,25.0
1198.0,24.0
1556.0,43.0
1606.0,30.0
1337.0,44.0
654.0,14.0
1909.0,54.0
1323.0,26.0
1517.0,33.0
1505.0,33.0
1646.0,39.0
1416.0,32.0
1448.0,29.0
1300.0,36.0
1366.0,31.0
1439.0,39.0
1241.0,46.0
1917.0,33.0
1246.0,31.0
1238.0,25.0
791.0,22.0
1100.0,29.0
1349.0,33.0
2354.0,50.0
2644.0,40.0
1362.0,31.0
1222.0,37.0
1364.0,32.0
1463.0,40.0
1878.0,55.0
1313.0,37.0
1975.0,49.0
807.0,22.0
1233.0,29.0
709.0,27.0
1631.0,46.0
2194.0,53.0
1449.0,27.0
1256.0,35.0
1744.0,50.0
1773.0,39.0
1860.0,37.0
1179.0,27.0
1650.0,53.0
761.0,17.0
1373.0,36.0
643.0,16.0
1847.0,59.0
1277.0,29.0
1227.0,24.0
1474.0,26.0
1955.0,44.0
660.0,17.0
888.0,18.0
705.0,14.0
1616.0,50.0
1498.0,43.0
1536.0,38.0
1190.0,30.0
827.0,21.0
804.0,15.0
1644.0,28.0
1757.0,45.0
1826.0,35.0
799.0,17.0
1468.0,29.0
1806.0,31.0
2052.0,50.0
1675.0,58.0
